Value,yy,mm
3.049164704,1942,12
2.581619533,1943,1
1.442297035,1943,2
0.893618542,1943,3
1.138005933,1943,4
2.1239486,1943,5
1.869851542,1943,6
2.032611898,1943,7
2.759520388,1943,8
2.445355048,1943,9
2.525171806,1943,10
2.269099899,1943,11
2.38347649,1943,12
1.342567231,1944,1
1.032022445,1944,2
0.875351201,1944,3
1.464843212,1944,4
2.211006466,1944,5
2.227134388,1944,6
1.792338773,1944,7
2.236514914,1944,8
2.333940729,1944,9
2.279467849,1944,10
3.468490679,1944,11
1.462539223,1944,12
2.441405353,1945,1
1.977974448,1945,2
0.940192031,1945,3
1.409053767,1945,4
1.478173433,1945,5
3.068419468,1945,6
2.232729789,1945,7
2.891341466,1945,8
1.331705569,1945,9
1.443119888,1945,10
2.281113556,1945,11
1.724535672,1945,12
1.462703794,1946,1
1.00223516,1946,2
0.525967746,1946,3
0.726743919,1946,4
1.776210851,1946,5
1.948680875,1946,6
2.324066491,1946,7
2.423960866,1946,8
1.095546709,1946,9
1.608842516,1946,10
2.011053145,1946,11
1.072506821,1946,12
1.273447565,1947,1
1.577903237,1947,2
1.650972599,1947,3
1.995583506,1947,4
1.835949991,1947,5
2.055816358,1947,6
2.341840119,1947,7
2.093832174,1947,8
2.712782328,1947,9
1.89799312,1947,10
2.551009395,1947,11
2.03047248,1947,12
1.417940581,1948,1
0.420971681,1948,2
0.645775167,1948,3
1.295335459,1948,4
1.797769604,1948,5
2.12131547,1948,6
2.008090874,1948,7
2.212652172,1948,8
1.443284459,1948,9
2.292139788,1948,10
1.849280212,1948,11
1.77588171,1948,12
1.70593919,1949,1
1.675658194,1949,2
0.742871841,1949,3
1.093901003,1949,4
2.084451648,1949,5
2.175623779,1949,6
2.065032313,1949,7
2.086261925,1949,8
2.179244333,1949,9
2.861060469,1949,10
2.224007546,1949,11
2.457204134,1949,12
1.947858022,1950,1
2.204588211,1950,2
1.424358836,1950,3
1.975505889,1950,4
2.468230366,1950,5
2.701426954,1950,6
2.876530109,1950,7
2.740923906,1950,8
2.171509513,1950,9
2.416719758,1950,10
3.306717746,1950,11
1.723219107,1950,12
2.750469003,1951,1
2.315344247,1951,2
1.129777401,1951,3
1.234773466,1951,4
1.22539294,1951,5
2.204094499,1951,6
1.272131,1951,7
1.283650944,1951,8
1.872813813,1951,9
1.679114177,1951,10
2.062234613,1951,11
1.772590297,1951,12
1.120396875,1952,1
1.220126679,1952,2
0.872553501,1952,3
0.732997603,1952,4
2.026851926,1952,5
2.077704252,1952,6
1.917577025,1952,7
2.296418625,1952,8
1.843684811,1952,9
2.026029073,1952,10
1.956415695,1952,11
0.76854486,1952,12
1.699356365,1953,1
0.37637304,1953,2
0.201434456,1953,3
0.983803249,1953,4
1.197909644,1953,5
2.279961561,1953,6
1.756462375,1953,7
1.298956013,1953,8
1.465995206,1953,9
2.229273806,1953,10
1.85898988,1953,11
1.467147201,1953,12
2.168382671,1954,1
1.289740057,1954,2
0.302974537,1954,3
1.063949148,1954,4
1.873142954,1954,5
2.34727095,1954,6
2.421327736,1954,7
2.599228591,1954,8
1.9939378,1954,9
2.661600861,1954,10
2.325218485,1954,11
2.683324185,1954,12
1.686684426,1955,1
2.962929692,1955,2
1.00750142,1955,3
1.239546014,1955,4
